,Dates,001702.OF,400032.OF,005847.OF,002340.OF,005609.OF,100026.OF,519915.OF,005739.OF,270007.OF,270005.OF,270022.OF,004851.OF,270028.OF,450003.OF,450004.OF,519133.OF,519003.OF,519002.OF,001445.OF,001694.OF,002980.OF,540008.OF,519069.OF,005267.OF,519714.OF,004075.OF,001951.OF,001667.OF,519171.OF,005094.OF,001410.OF,001475.OF,001018.OF,110015.OF,005106.OF,003940.OF,005543.OF,005794.OF,501022.SH,000339.OF,200012.OF,001869.OF,166006.SZ,005275.OF,166009.SZ,002685.OF,166019.OF,001173.OF,001980.OF,001000.OF,005241.OF,001990.OF,004812.OF,002621.OF,003095.OF
0,2018-9-19,1.007186134986614,1.0129386742289967,1.0031389226407452,1.0098199672667758,1.016618911174785,1.0153121322308245,1.0184824902723735,1.0102815749503447,1.0118312218615853,1.0176258494440502,1.0110884527147592,1.0165735209096163,1.0110526315789474,1.0137931064726706,1.0144787652083345,1.021493206823766,1.0187637958158307,1.016396874127826,1.0103626943005182,1.0119124797406807,1.016431924882629,1.0106213489113118,1.0118315670253217,1.028816199376947,1.0230366462856477,1.0131767658659019,1.0272628135223554,1.0167832167832167,1.0156028368794325,1.016462306993642,1.0119272288065222,1.0202429149797572,1.0160349854227404,1.014390925251841,1.0147058823529411,1.0183354457118716,1.01638937174075,1.0169887449564663,1.002560819462228,1.015703830029134,1.0162785263649816,1.010381905821283,1.0169286577992744,1.015968525804212,1.0133587786259541,1.0174297841596678,1.0061475409836065,1.0029527559055118,1.009840515778758,1.012970168612192,1.0113804483896665,1.0154373927958835,1.0219541616405308,1.030008826125331,1.014603899812352
1,2018-9-20,0.9980414101846671,0.9979002624671917,0.9997981225396185,0.9910858995137765,0.988500563697858,1.000497182330728,1.0019102196752627,0.9984965884121659,0.9976200331125827,0.9961947254515586,0.9986133871171058,0.9934597156398105,1.0010411244143675,1.0,0.9990485220899316,0.9988925840472258,0.998916575878756,0.9991075719091096,0.9974358974358976,0.9975174181148395,0.9976905311778291,1.0035908215098968,1.0013592116572387,1.0027035795393102,0.9938587542887505,0.994691674776608,0.9946921443736731,1.0,0.9958100558659218,1.0021221936780969,0.994479671764267,0.9907407407407407,1.0014347202295553,0.998956855545356,0.9959276560067074,0.9956023896448721,1.0012215978499879,0.9977030695343496,0.9987228607918263,0.9981810549881069,0.9977007970570203,0.9989908256880733,0.9956153388822829,0.9960136674259682,0.9953965264699728,1.0009763891354517,0.996677028620431,0.999018645731109,0.9959677419354838,0.9961587708066582,0.9961741870147406,0.999049831081081,0.9923276676109538,0.9940017137960582,0.9940495336120939
2,2018-9-21,1.011354079058032,1.0203401718393827,1.006057546693589,1.0139002452984465,1.0035355839416058,1.0219479885655551,1.0219256434699715,1.0198054204308549,1.0216782491442797,1.0235774501802335,1.0124968442312547,1.023661864325923,1.0098803952158086,1.032069966795823,1.0266666685145593,1.0177383554028272,1.016268981627049,1.0245980486464203,1.0188517566409598,1.0202312138728322,1.0138888888888888,1.0176280652762022,1.031918078926882,1.0346203623813632,1.0288362453562203,1.0207240060482077,1.0181430096051227,1.0206327372764787,1.023842917251052,1.028979045920642,1.0133523366589154,0.9986648865153538,1.010028653295129,1.0268576918257384,1.0168370414912808,1.0285857154762896,1.029526598340654,1.0299288405190457,1.0038363171355498,1.0255817213344547,1.0180519280995544,1.0225916062081,1.0226170038068225,1.0263007432818751,1.0290519234811857,1.023144453312051,1.0164013766401376,1.012770137524558,1.0160818713450293,1.0244215938303343,1.017734101434542,1.0115185459156715,1.001070536457714,1.0275862068965518,1.0247532761689047
3,2018-9-25,0.9975051975051975,0.9965629833304691,0.9970898143502258,1.0008064516129034,1.009546539379475,0.9902747376107834,0.996268656716418,0.9927314026121522,0.993502538071066,0.9936945049125214,0.9945143997007854,1.0002796159940348,0.9963954685890835,0.9915254251890567,0.9916512042255168,0.9901960839631142,0.9903948759695798,0.999195278969957,0.9907485281749369,0.9942555870317911,1.0011415525114156,0.9972558099648402,0.99216573816156,0.9866569373501511,0.9859859928147521,0.998954339491112,0.9853249475890985,0.9959568733153639,1.0,0.996317157712305,1.0,1.0080213903743316,0.9985815602836879,0.9891392775789132,1.0053222945002955,0.9948144547075028,1.0052145058070634,1.0067567567567568,0.9987261146496815,0.9966514043600081,0.9959254508413191,0.9920071845532107,0.9983211678832116,0.9958774373259054,0.996527210328485,0.9911596463858554,1.000105814507169,0.9961202715809894,0.9946873270614279,1.002509410288582,0.9932297447280799,0.9967613873798579,0.998930608365019,0.9966442953020134,1.0057625513103885
4,2018-9-26,1.003473669584549,1.0100017244352475,1.0040257648953301,1.0080580177276388,1.007880220646178,1.0157950727114995,1.0168539325842696,1.0075506234984557,1.0082771305947271,1.0134680134101988,1.0110317161840292,1.0184494968319047,1.0129198966408268,1.0161443503251577,1.012160899108859,1.006600656304791,1.0053879335376663,1.0140268456375838,1.0067911714770799,1.0166204986149583,1.0068415051311288,1.0039556281709519,1.015363319100817,1.0094030639197042,1.0192893346529506,1.017533147243545,1.004255319148936,1.0121786197564275,1.015068493150685,1.003152859317243,1.0070323488045008,1.0053050397877985,1.0113636363636365,1.017477484887116,1.015294117647059,1.019547157517511,1.005187455788729,1.0067114093959733,0.9987244897959183,1.0136450905101482,1.0091673611637246,1.00805721528155,1.0106748555969878,1.012307003803983,1.008404739453077,1.0078698845750262,1.0094693963921069,1.0029211295034082,1.0063424947145876,1.0175219023779722,1.0107274555816292,1.0045068651084792,1.0076127036992981,1.015993265993266,1.021505376344086
5,2018-9-27,0.9896150650789256,1.0003414717432133,0.9991980753809142,0.9896083133493206,0.9927398637328271,0.9942797296008307,0.996316758747698,0.9950039741115021,1.001520218911523,0.9922054699601396,0.9986360818350899,1.0003659652333028,0.9841836734693878,0.9925233621964936,0.9963031429919562,0.9890710382513662,0.9903536964567053,0.9918591567939639,0.9890387858347387,0.9942390035033086,0.9920724801812004,0.9825267665952891,0.9952380038019162,0.9970692903495918,0.9980079691013181,1.0035147878268325,0.9894067796610171,0.9919786096256684,1.0053981106612686,0.9892706188360247,0.9830197000882093,0.9881266490765171,0.9936797752808989,1.0004850052542236,0.99513325608343,0.9957660968205783,0.9998827117053718,0.9973934837092732,0.9974457215836526,1.0007440979503484,0.9915165165165164,0.990929501571621,0.9931997395644939,0.9932581786030062,0.9910554561717353,0.9951414193996182,0.9975893512210461,0.996116504854369,0.9833038478549314,0.9987699876998771,0.9900497512437811,0.9890442404006677,0.9906740644552001,0.9942004971002485,1.0064540914329618
6,2018-9-28,1.0068560235063664,1.007509813961427,1.0021067415730336,1.0032310177705976,1.0005625562556255,1.0106960542508885,1.0092421441774493,1.0081022480885542,1.0072859744990892,1.007726979833845,1.0027315619567916,1.0089628681177978,1.010886469673406,1.0160075338205532,1.0083487957744832,1.0055248618784531,1.00541125472296,1.007406913118911,1.0034100596760442,1.0057943778874012,1.0034246575342465,1.0074099904106006,1.0087013563311533,1.0034642032332564,1.0079840360553713,1.004783871518879,1.0042826552462525,1.0080862533692723,1.0080536912751679,1.0023006134969326,1.0015703282733868,0.9973297730307076,1.0007067137809187,1.0073523470954189,1.0060549604098743,1.0091456077015644,1.0073900293255131,1.0076389586893155,1.0012804097311139,1.0093957009598487,1.0068902854546833,1.00815660685155,1.008085075387865,1.0084566596194502,1.0125123071873974,1.0088927637314733,1.008142466904812,1.0058479532163742,1.0032609917912965,1.0110837438423643,1.0084868788386376,1.0056968034602807,1.0051239275500479,1.0158333333333334,1.0136651652797923
7,2018-9-30,0.9998610339077265,0.9998305946129086,1.0,1.0,1.0,0.9999198265892865,1.0,1.0,0.9998995378742215,0.99987220317003,0.9999939821693908,0.9999093546047861,1.0,1.0,1.0,1.0,1.0,1.0000064582367358,1.0,0.9999803425457376,1.0,0.9999197127033577,0.9999957595348303,1.0,1.0,0.9999149804455024,1.0,1.0,1.0,0.9998906984369875,0.999220225474093,1.0,1.0,1.0000004411292909,0.9997685185185186,0.9999090547738294,0.9998835584536563,0.9999002493765586,1.0,0.9998660684390277,0.999924800721913,0.9999984897518878,0.9998833453757225,0.9998896612600684,0.9999488027227421,0.9999729778776356,0.9999142358397165,1.0,0.9998879175072853,1.0,0.9998892702912191,0.9999203084023917,0.9998814463544754,1.0,1.0000286488929055
8,2018-10-8,0.9688672689367617,0.9625550660792953,0.984182600860947,0.9605475040257649,0.9711008658495447,0.9597498406136483,0.9569597069597068,0.9634367217568486,0.96744700090425,0.9474693255132084,0.9741847753070926,0.9544012328891306,0.958974358974359,0.9518072301305979,0.9558417679773393,0.9593406574744363,0.9644779326696278,0.9534313731497064,0.9660152931180969,0.9590834697217675,0.9601820250284414,0.9425417523570299,0.956053426744285,0.9555392823517105,0.9524752470988199,0.9596122778675283,0.9605543710021323,0.9598930481283422,0.952063914780293,0.9591167468299082,0.9545454501302668,0.9772423025435073,0.9675141242937855,0.9537937723880537,0.9725630933086362,0.9529576105816443,0.943752183533248,0.9520151636073425,0.9936061381074168,0.9593463264349339,0.9641272467473866,0.9607250755287008,0.958855995159262,0.9548664753917457,0.9557611806583154,0.9549461295933912,0.9734127476442785,0.9777131782945735,0.9660351978477749,0.946406820950061,0.9502768549280176,0.9652382032374909,0.9715437514820963,0.955701394585726,0.9476605896905921
9,2018-10-9,0.9915363649404676,0.9966555183946488,0.998575933272302,0.9840737636211231,0.9777674849467346,0.993734335180428,1.0038277511961722,0.9948302197156621,0.9997922941115381,0.9959530566637599,0.9930264992849225,0.9989551671732524,0.9962566844919786,1.0038948381234014,0.9980750658683584,0.9919816704331272,0.9933035716124876,0.9982862081089303,0.9973614775725592,1.0008532463795292,0.990521327014218,0.985585583434899,0.9968454254699058,1.0004379242391066,0.9968814942383989,0.9919369129895445,0.9922308546059934,0.9986072423398329,0.9902097902097902,0.98518349669478,0.9868637172226384,0.9767123287671232,0.9883211678832117,0.9974502825703464,1.0057136055231521,0.9987292347653257,0.9997532082922014,0.9992664780467357,1.0,0.9897375034906452,0.9964898595943839,0.9968553459119498,0.9980115183949282,0.9993065988674449,0.9939226894563974,1.0010256428355404,1.001829305842678,0.9990089197224976,0.9900208865165931,0.9974259974259975,0.9972031231791167,0.9989372975907473,0.982792287039297,0.9982832618025751,0.9874476987447698
