,Dates,001702.OF,400032.OF,005847.OF,002340.OF,005609.OF,100026.OF,519915.OF,005739.OF,270007.OF,270005.OF,270022.OF,004851.OF,270028.OF,450003.OF,450004.OF,519133.OF,519003.OF,519002.OF,001445.OF,001694.OF,002980.OF,540008.OF,519069.OF,005267.OF,519714.OF,004075.OF,001951.OF,001667.OF,519171.OF,005094.OF,001410.OF,001475.OF,001018.OF,110015.OF,005106.OF,003940.OF,005543.OF,005794.OF,501022.SH,000339.OF,200012.OF,001869.OF,166006.SZ,005275.OF,166009.SZ,002685.OF,166019.OF,001173.OF,001980.OF,001000.OF,005241.OF,001990.OF,004812.OF,002621.OF,003095.OF
10,2018-10-9,0.9739326475975765,1.0035448422545197,0.9940259214256782,0.9607201309328972,0.9677936962750718,1.0007571937763358,1.0204280155642023,0.9892510807337306,1.0079572819600042,0.9858459069019515,0.9957437037981134,1.013393717479283,0.9805263157894739,1.0157635467740262,1.0009652474465287,0.9796380014435621,0.982339954195007,1.0026080100474462,0.979274611398964,0.999165016207455,0.9812206572769951,0.9500928128872373,1.0077359133565247,1.0166889185580776,1.0041884796109684,1.0034958766583004,0.9749182115594327,1.0027972027972027,1.0042553191489358,0.9813805631244321,0.951716871744546,0.96221322537112,0.9868804664723035,1.0041128417844745,1.0268595041322317,1.011485593578369,1.005959771542091,1.012529199405394,0.9948783610755438,1.007390037660769,0.995015188098762,0.9875308120133487,1.000803635126965,1.000578569775515,0.9942571162001697,0.9989769439176374,1.0091313524590164,0.9921259842519686,0.9650492025788932,1.0051880674448768,0.9738249687037669,0.985324260291595,0.971411338962606,1.0264783759929392,1.0137429387288894
11,2018-10-10,0.972805410736931,0.9975186104218361,0.991595787768327,0.9582651391162034,0.9714613180515762,1.001514387552672,0.9990272373540855,0.983993457179577,1.0055491571563189,0.976632392781203,0.9873526127963291,1.0011562921564847,0.973684210526316,1.0108374387116827,0.9971042442828129,0.975113120346455,0.9790286976436954,0.9948625383756627,0.9775474956822109,0.9983132090761746,0.9788732394366196,0.937451929545053,1.0054580292856565,1.0149087672452162,0.9895287925472579,0.9913947651487989,0.9770992366412212,1.0013986013986014,0.9971631205673755,0.9682107175295185,0.9533004227372236,0.9662618083670714,0.9868804664723035,0.9881989884026072,1.0250364608653382,0.9886165272496829,0.9877079711944375,0.993735400297303,0.9935979513444299,0.9971576778227813,0.9937689851234524,0.9833771598071938,1.0004887847642079,0.9996528581346911,0.9929846946564885,0.9959063126523976,1.0119270815358068,0.9931102362204726,0.9655016400859625,0.9909208819714657,0.9731421418003868,0.9869548241852484,0.9685162846803381,1.0176522506619594,0.9914062331728807
12,2018-10-11,0.9298295054248273,0.9617157036511873,0.9822802754151476,0.8993453355155486,0.9185100286532953,0.9629816593494509,0.9581712062256809,0.9483584530903142,0.9722542142184066,0.9293630650470502,0.9607807927606422,0.9544228174985546,0.916842105263158,0.9625615758026075,0.9565637043749967,0.9230769156880316,0.933774833120375,0.941504856265699,0.9309153713298793,0.9557230551053482,0.926056338028169,0.8652734377765983,0.9731120742658362,0.9767467734757457,0.947643979586931,0.9532986733596269,0.9302071973827697,0.965034965034965,0.953191489361702,0.9036103542234332,0.8852075337812336,0.9122807017543859,0.9336734693877553,0.9512377761787859,0.989061740398639,0.9580254499366284,0.9575366277626025,0.9623062221278402,0.9769526248399484,0.963973566403752,0.9538126022275881,0.9345717463848726,0.9556751133615478,0.9552186993751446,0.9537516539440204,0.9488233902284837,0.975455516609146,0.9714566929133861,0.9183350299739842,0.9429312581063554,0.9187435984977808,0.9269734991423668,0.9231604342581426,0.9735216240070609,0.9390008729705472
13,2018-10-12,0.9306749330703112,0.9714640198511165,0.9892669096800323,0.9157119476268415,0.9392550143266477,0.9815749616182068,0.9678988326848249,0.9503446664329944,0.9837713328447285,0.9396448124003731,0.9719689268417027,0.9546155328579687,0.9247368421052633,0.9783251225766342,0.9710424695833311,0.9355203603175839,0.9437086092931087,0.9535533631035443,0.9352331606217618,0.9702037115072931,0.9366197183098591,0.8679753053637818,0.9927018788932935,1.0024477080551848,0.9706806258725786,0.9640552169236284,0.946564885496183,0.9846153846153846,0.9659574468085105,0.9082652134423251,0.8970842001962708,0.9365721997300942,0.9518950437317787,0.9702317319901802,1.001701507049101,0.9724794930291507,0.9764092376458903,0.9795073263962624,0.9756722151088344,0.9769061323100976,0.9685333748734329,0.9387253985910277,0.9729918681983072,0.9728072205507985,0.9689500381679389,0.9549646346970109,0.9985202868852462,0.9822834645669294,0.9256871394638609,0.9584954604409857,0.9364970979856605,0.9276723091766721,0.9396863691194214,0.9902912621359226,0.94415550297789
14,2018-10-15,0.9289840777793433,0.9645515774548031,0.9855204536249493,0.9009819967266778,0.9316905444126076,0.9676089512573763,0.9523346303501946,0.943918682089029,0.9730918228457754,0.9250901321167534,0.9621793143002803,0.9479668529581807,0.9215789473684213,0.9704433516259386,0.957528958510326,0.9174208071124788,0.9282560700285895,0.9458078984091542,0.9283246977547497,0.9574266612641812,0.9307511737089202,0.8611241370154015,0.9822236105493083,0.9866488651535382,0.9539266990033838,0.9534779490856937,0.9312977099236639,0.9706293706293706,0.9560283687943261,0.9024750227066303,0.8970842001962708,0.9325236167341429,0.9431486880466474,0.9553445780072802,0.994409333981527,0.9592134600760454,0.963868885026074,0.9670843066468464,0.9731113956466065,0.9693029204860374,0.9615234831373163,0.9231492028179464,0.9634414147521161,0.9620458227262209,0.9640724173027989,0.937564426984557,0.9868925905953411,0.9763779527559058,0.9156204049315683,0.9494163424124513,0.9289860020484807,0.9173066037735845,0.9338962605548857,0.976169461606355,0.9338462511218077
15,2018-10-16,0.9181344229956319,0.9505494505494504,0.9862292426083434,0.8813420621931263,0.9111747851002868,0.9551573284492182,0.938715953307393,0.927912139268606,0.9649251387289289,0.9118707417139874,0.953788210553148,0.927057236461746,0.9031578947368424,0.9605911355012516,0.9440154407485202,0.9004524813858197,0.9128035307640704,0.9251533142617917,0.9119170984455961,0.9369833873581845,0.9084507042253521,0.8378687643830772,0.9717453442278134,0.9803070761014687,0.9392670119396733,0.9380602366439582,0.9138495092693564,0.9482517482517484,0.9375886524822693,0.8832879200726611,0.8741226466369744,0.9041835357624831,0.9161807580174928,0.948671027681368,0.9741127856101122,0.9466404224757073,0.9612614849764093,0.9565725207050328,0.9692701664532647,0.9592837348113411,0.941428460160449,0.904457767890249,0.9494830637847643,0.9509372830363342,0.9483085114503816,0.9273290074957103,0.9838427038395172,0.9685039370078743,0.8899445764053835,0.9416342412451362,0.9140776146580175,0.8947117066895366,0.9118214716525939,0.9691085613415712,0.918382377416986
16,2018-10-17,0.9254614625898266,0.9500177242112725,0.9859254759011745,0.8895253682487728,0.9097994269340977,0.9570923784128703,0.9348249027237354,0.9290805000584179,0.9668097581405088,0.915743089671865,0.953788210553148,0.928406243977645,0.9052631578947371,0.9615763532156117,0.9469111964657072,0.9072398174398187,0.918322293855856,0.9337593915713089,0.9162348877374785,0.9455014181523498,0.9225352112676056,0.8436584882280056,0.9708341901949682,0.9840898976412996,0.9403141360550757,0.9374327716027249,0.9193020719738275,0.9454545454545455,0.9361702127659572,0.8728428701180744,0.8867910923227902,0.8960863697705803,0.9169096209912538,0.9522644798103784,0.9738697131745264,0.9474324292353187,0.9615098087906631,0.9488744956466341,0.9731113956466065,0.9577915156683012,0.9462574966897737,0.9148418984056365,0.9487484129383313,0.9495487155750985,0.9545292451229855,0.929376085974894,0.9886081535806732,0.9714566929133862,0.9010292953285821,0.933852140077821,0.9250028451120974,0.9014668846483702,0.9108564535585046,0.9541041482789056,0.906354915558456
17,2018-10-18,0.9192616598562772,0.9349521446295638,0.9842041312272174,0.8747954173486091,0.8890544412607452,0.9382466776200973,0.9202334630350194,0.9114382521322583,0.9464977489268139,0.8977166508290912,0.9342089854703033,0.9028714588552708,0.8989473684210528,0.93793103549089,0.9266409265117992,0.8880090463618265,0.9006622513102622,0.9165472369522746,0.8998272884283249,0.9259099513776333,0.9072769953051643,0.8290876969375118,0.9530666956556914,0.9667334223408991,0.9183246054595099,0.9051631409107206,0.8953107960741546,0.9244755244755245,0.9049645390070921,0.8518392370572205,0.8654130897561713,0.8798920377867746,0.8994169096209914,0.9312171209684247,0.9465240641711234,0.927137372201098,0.9492177799851006,0.9411764705882352,0.9628681177976949,0.9347687060328289,0.9258509229690789,0.8992657026325551,0.9278633539903265,0.9279102059708402,0.9349480703986428,0.9119758782624401,0.9639549018550476,0.9616141732283469,0.8871168419862,0.9053177691309987,0.9165813133037443,0.8775908233276154,0.8914354644149582,0.9364518976169461,0.8659770172146526
18,2018-10-19,0.9372974496266027,0.9638426090038992,0.9892669096800323,0.9132569558101478,0.9073925501432667,0.9608783437031208,0.9455252918287939,0.935389648323402,0.9696366872578788,0.9262918936734671,0.953788210553148,0.9312969743688573,0.9321052631578949,0.9724137919272946,0.950772199629423,0.9174208071124788,0.9271523167583524,0.9535533631035444,0.9188255613126081,0.944649619124797,0.9401408450704225,0.8649839529120207,0.9731120742658361,0.9821984868713841,0.952879583313302,0.9391358910003584,0.9203925845147217,0.9524475524475525,0.9475177304964538,0.8747729336966392,0.8978759794670491,0.9055330634278002,0.9336734693877552,0.958424680436807,0.9677929022848814,0.959411457541191,0.9776508567171592,0.9734550860055212,0.9679897567221506,0.9693739785404677,0.9549809175169408,0.9293796811271787,0.9558850136033858,0.9564915528812777,0.9683138295165394,0.9344937957193173,0.9971859631147543,0.9803149606299216,0.9123402330053154,0.9481193255512322,0.946625697052464,0.8982057568610632,0.9211097708082031,0.9664607237422771,0.9106504364852733
19,2018-10-22,0.9670283218261237,0.9916696207018786,0.9978736330498176,0.959083469721768,0.9447564469914043,0.9995793375890197,0.9873540856031128,0.963196635120925,1.0021987226468432,0.9623447713590146,0.978961509049197,0.9890152245133937,0.973684210526316,1.02068965483637,0.9864864889269949,0.9581447946197962,0.962472405108939,1.0026080100474462,0.954231433506045,0.9804253484602913,0.9859154929577464,0.9102402460612508,1.0063691833185018,1.0179127725856698,1.0010471156900818,0.9859268555037647,0.9596510359869137,0.993006993006993,0.9985815602836877,0.9202997275204359,0.948549754661433,0.9514170040485828,0.9803206997084549,0.9948725387285196,1.0037676227515804,0.9998035572454581,1.0156444002979887,1.0118921214695262,0.9846350832266321,1.015845946137995,0.9896409377677391,0.9729930292918062,0.9978650317412334,0.9973385790326316,1.0083951484308737,0.9703177639302808,1.0260963492234685,1.0039370078740162,0.945707499151679,0.9935149156939043,0.9900990099009903,0.9379215480274441,0.9698431845597111,1.0229479258605474,0.9621966876070814
