,Dates,006929.OF,004200.OF,050027.OF,002650.OF,100058.OF,100066.OF,006804.OF,004920.OF,000191.OF,002864.OF,270048.OF,006591.OF,006998.OF,040040.OF,040026.OF,000186.OF,000015.OF,004042.OF,004672.OF,006668.OF,006884.OF,004555.OF,004705.OF,003280.OF,003327.OF,006985.OF,110037.OF,000205.OF,000032.OF,007169.OF,005705.OF,217022.OF,161713.SZ,002920.OF,380005.OF
13,2019-8-2,1.0005902026362385,1.0019162594327318,1.002089199076865,1.0008259901952776,1.0004703217892985,1.0009300639237522,1.0000983380863409,1.0006741208256913,1.0009421552121511,1.0000942305601075,1.0008438800137676,1.0002943762374115,1.0002962386631713,1.0005621693138897,1.0009469738056886,1.0008673904305838,1.0016233780949768,1.0005347565531442,1.0001863932898416,1.0005889878398455,1.0011740534194307,1.0009643210954047,1.000892060660125,1.0002731245447924,1.0029363140965208,1.0011831985801618,1.0018099552665938,1.0008818313482584,1.0008928598026,1.0002974720869553,1.0010456198472901,1.0007007753230814,1.0,1.0001886683898977,1.0018709050382033
14,2019-8-5,1.000589854502556,1.0015300808187124,1.0024474280041793,1.000917016286844,1.0005641233229752,1.001022114545261,1.0002949852507377,1.0010586076801358,1.0010353916844184,1.0003768956293,1.000843175407228,1.000294289605545,1.0004935848863588,1.0007491305150253,1.0009460714249994,1.0013480936885015,1.0016207470097838,1.0013361855770206,1.0004658963846442,1.0005886411373734,1.0016612918987586,1.0009633920761025,1.0008912655971478,1.0004550832802401,1.0025617559512219,1.0009848335631277,1.0009033391139457,1.000881061392262,1.000892056055967,1.0003965114981705,1.0008546212263312,1.0014005579857348,1.0009813545944697,1.000282940231576,1.000933709260452
15,2019-8-6,1.000294753389664,1.000477413708038,1.000090423212343,1.000274853720659,1.0000939633899988,1.0001856472551214,1.0000982994200334,1.0002884026535028,1.0003761108425835,1.0000941861831851,1.0008424581407525,1.0001961353497684,1.0003946731044078,1.000280716435311,1.0,1.0001923255397966,1.0,1.000533757542283,1.000465679426283,1.000294147421414,1.0002926829268295,1.0,1.0,1.000272925764192,0.9999087477074472,0.9996064541519087,1.0009025238288696,1.0008802788271738,1.000891268253881,1.0,0.9999051231697162,1.0,1.0,1.0002828512318827,1.0009328310355858
16,2019-8-7,1.0002946665357038,1.0005726336386882,1.0006329117542743,1.0004579578021056,1.0002818761475987,1.0004640356544183,1.0000982897582071,1.0002883195013939,1.0004699741887766,1.0001883635248907,1.0,1.0001960968882366,1.0001972586995005,1.0002806376557085,1.0,1.000480728443191,1.0,1.0003556543362364,1.0001861850679574,1.0003920714692232,1.0007802594362625,1.0,1.0008904719501337,1.0005457025920874,1.0007301278883234,1.0000984251968503,1.0,1.0,1.0,0.9999009114152204,1.0002846574982522,1.0,1.0009803924818035,1.0000942630596472,1.0
17,2019-8-8,1.000392772977219,1.0003815284771302,1.000451795733994,0.9999084433374948,1.0000939343151016,1.0003710607335807,1.00009828009828,1.000384321102292,1.0001878999510094,1.0000941595767536,1.000841749002453,1.0002940876626794,1.00009860989809,1.0002805589203108,1.0009451836834298,1.0002882942454503,1.0008090659846023,1.0002666415663477,1.0001861504095308,1.0002939456764381,1.0005847383295974,1.0009624648450972,0.9991103202846974,1.0002727024815925,1.0,1.0,1.0009017170206613,1.000879511590992,1.0008904746021372,1.0004954920215006,1.0001897176609469,1.0006992995832518,1.0,1.0001884993861376,1.0
18,2019-8-9,1.0002944640753828,1.0007627747348928,1.0009031769234165,1.0003662338263422,1.0004696150035868,1.000556380988052,1.0000982704402515,1.0001920867281626,1.0003757222252871,1.0000941596079729,1.0,1.0000980004001845,1.0001972003502735,1.0004674596324759,1.0,1.0002882111558327,1.000808404402331,1.0003554331179572,1.0000930578820026,1.0002938592977682,1.000973994350833,1.0,1.0008904719501337,1.0002726281352234,1.0014591818021243,1.0003936620411376,1.000900897659342,1.0,1.0008896751228071,1.0000990493261495,1.0005690450249496,1.0,1.0009794322537853,1.0,1.0009319688912237
19,2019-8-12,1.0003925031890886,1.0004763763399458,1.0,1.0001830542653798,1.0002816379865067,1.0002780358001928,1.0002947823523631,1.0003840996758757,1.0002816946765323,1.0002824255416092,1.000841047965995,1.0002939723911415,1.0002957422049439,1.0001868994514382,1.0009442846973515,1.0002881281140958,1.0,1.000177644716378,1.0000930492230389,1.0002937729698496,1.0002919139826798,1.0,1.0,1.0004542563823022,0.9995446684897403,0.9998032464338417,1.0,1.0,1.0,0.999900960483648,1.000094786899478,1.000698810905077,1.0,1.0002827002722703,1.0
20,2019-8-13,1.0003923491907798,1.0012379799486488,1.0012633105939026,1.0000915059908633,1.0004692624067353,1.0008338682397786,0.999901768172888,1.0003839521999602,1.0005632236214126,1.0,1.0,1.0001959239978482,1.000098551589117,1.0004671613164016,1.0,1.0004800752003309,1.000807751412533,1.0011545377510858,1.0005582433941198,1.0002936866926377,1.0007782101167315,1.0009615393972304,1.0,1.0002724300762804,1.0022777032277803,1.000590376857227,1.0009000937672274,1.0008787317631092,1.0008888915379013,1.0005942959568954,1.000473889578866,1.0,1.0009784739048833,1.0000942097783245,1.0009311011339321
21,2019-8-14,1.0,1.0,1.001081466791817,1.0003659992532508,1.0000938109490822,1.0001851561583714,1.0000982414775519,1.0001919024186243,1.000281449755274,1.000094124159709,1.0,1.0000979428095773,1.000197083755317,1.0001867772714448,1.0,1.0002879069032342,1.0008071069883264,1.0,1.000092988655384,1.0,1.000777604976672,1.0,1.0008896797153024,1.0001815705855652,1.0009999030247299,1.0001966761726817,1.0,1.0,1.0,1.0,1.0002841990683429,1.0006983284818642,1.0,1.0,1.0
22,2019-8-15,1.000392195313266,1.0003804398472966,1.0007202076154196,1.000182937061857,1.0001875980781127,1.0002776755167755,1.0000982318271119,1.0002877939760269,1.0003751654625261,1.0000941064089612,1.0008403342955323,1.000097933217723,1.0001970350736415,1.0001867423922102,1.0009433938649612,1.0005756551072373,1.0,1.0001774083397124,1.000371920037192,1.0003914672881171,1.0008741258741258,1.0,1.0,1.0003630752473451,1.0001816267143564,1.0,1.0008992773393466,1.000877960271532,1.0008881021114495,1.0000989904964974,1.0,1.0006978355909437,1.0,1.000094191944962,1.0
23,2019-8-16,1.0001960207782026,1.000285227955245,1.0,1.0006401406687795,1.0002813474472858,1.000555189564905,1.000098222178568,1.0002877200173406,1.0000937526595746,1.0001881951075566,1.0,1.0000979236277467,1.0001970061038516,1.0,1.0,1.0,1.0,1.0,1.0000929454410261,1.0000978285253617,1.0,1.0,1.0,1.0002722076036656,1.0000907883252772,1.0,1.0,1.0008771970882056,1.0,1.0,1.0000947061073935,1.0,1.0,1.0000941920315476,1.0
24,2019-8-19,1.0002939735423813,1.0000950488744855,1.0002698786352908,1.0002741755044726,1.0006562885855175,1.0001849678001777,1.000294637595757,1.0004793836434887,1.0002812457390755,1.0001881685865368,1.0008396287267176,1.000293751828788,1.0000984836500455,1.0002800538840853,1.0,1.0001917722964364,1.0,1.0004434595500957,1.000185873605948,1.0001956379117551,0.9999029597282872,1.0009606157273627,1.0,1.0003628447024673,1.0004539260374947,1.0004915937469276,1.0,1.0,1.0,0.999901019301651,1.0003787885559843,1.0,1.0009775122660338,1.0002825405237044,1.0009302277860967
25,2019-8-20,1.0002938871473355,1.0001900796821113,1.0,1.0001827277237243,1.0002810838410476,1.0,1.0,1.0002874905997394,1.0001874350263726,1.0000940621488694,1.0,1.0000978852856672,1.0000984739519716,1.0001866552524716,1.0,1.0001917355268741,1.0,0.9999113508765124,1.0,1.0000977998225244,1.000873447204969,1.0,1.0,1.0003627130939428,0.9995462799178642,0.9999017295597484,1.0008984763475905,1.0,1.0,1.0,1.0,1.000697348956023,1.0,1.0000941476027023,1.0
26,2019-8-21,1.0000979336010187,1.0,0.9995503171698353,1.0001827031060853,1.000468339354548,1.0,1.0001963672066765,1.0,1.0,1.000094053302014,0.9991610756582593,1.0000978757050758,1.000196928511614,0.9999066897906049,1.0,1.0,1.0,0.9998226773517996,1.0000929195316854,1.0000977902586545,0.9999030350043632,0.9990403061696241,0.9991111111111112,1.0001812907904277,0.999182936548505,0.9996068796068794,0.9991023301875039,0.9991235717121366,1.0,0.9998020190070052,0.9994320323056864,1.0,1.0,1.0000941476934218,0.9990706367334372
27,2019-8-22,1.0000979240109675,0.999904978220654,0.9999100242659692,1.0,1.0,1.0,1.0000981643270834,1.0001916082596118,1.0,1.0000940533431926,1.0,1.0000978661263598,0.9998031102615893,1.0001866378340056,1.0,0.9998083012285909,1.0,1.0000886727065306,1.0,1.0,0.9998060512024826,1.0,1.0,1.0003625158600689,1.0009085944543106,1.0,1.0,1.0,1.0,1.0000990100986151,1.0002841452324693,1.0,1.0,1.0,1.0
28,2019-8-23,0.9999020855772055,0.9994298151439441,0.9999100161696081,1.0,1.0000936265067215,1.0,1.0,0.9999042186394627,1.0,1.0,1.0,1.0,1.0000984642558068,1.0,0.9990574952882015,1.0,1.0,0.9999113351556211,0.9999070891015516,0.9999022193033451,0.9998060135790495,1.0,1.0,1.0000905961224862,0.9998184477758765,1.0,1.0,1.0,1.0,1.0000990002965857,0.9998106236554057,1.0,1.0,1.0,1.0
29,2019-8-26,1.0002937720329024,1.0002852550761525,1.0006299499642681,1.0001826609676772,1.0002808470163733,1.0002773930914612,1.0002944640753828,1.0004789703428085,1.0003748139220787,1.0002821157229098,1.0008396287267176,1.000391426198073,1.0002953636846557,1.0004665075170618,1.0009433938649612,1.000287603290311,1.0,1.0007094077043563,1.0,1.0003911610346181,1.0000970120294916,1.0009606157273627,1.0,1.000181175831144,1.0000907883252772,1.0006882312456986,1.0008984763475905,1.0,1.0,1.0003959619859897,1.000378824429574,1.000696862999338,1.0,1.000282407538591,1.0
30,2019-8-27,1.0002936857562408,1.0,0.999910064726512,1.0001826363712216,1.0002807681634722,1.0000924338575297,1.0000981257972723,1.0000957535050874,1.0,1.0000940090910158,0.9991610756582593,0.9999021817391117,1.0000984254902365,0.9999067420021446,1.0,0.9998083196010394,1.0,0.9999113901539769,1.0000929195316854,0.9999022479781274,0.9997089921427879,1.0,1.0,1.0001811430124083,0.9999092199164945,0.999803497740224,0.9991023301875039,1.0,1.0,0.9999010486844622,0.9998106595120155,1.0,1.0,1.0,1.0
31,2019-8-28,1.0,0.9997148262711012,1.000089943362569,1.0,0.9999064348133877,0.9999075746856987,1.0000981161695448,1.0,1.0,1.0,1.0,1.0000978278302366,1.0,1.0,1.0,0.9999041414263101,1.0,1.0000886176984236,1.0000929108984484,0.9999022384217355,1.0001940617116243,1.0,1.0,0.99990944489722,0.9999092031339583,1.0001965408805031,1.0,1.0,1.0,1.0001979222157396,1.000094688172297,1.0,1.0,1.0,1.0
32,2019-8-29,1.0000978665100801,1.0001901700507683,1.000359741093952,0.9998173969787316,1.0001871416781714,0.9998151176916571,1.0000981065437065,1.0,0.9999063351563537,1.0000940002541372,1.0008396287267176,1.0000978182608884,1.0,1.0000932666957207,1.0,0.999904132236563,0.9991935439080212,0.9996455519380265,1.0001858045336307,1.0003910845461004,0.9998059759410167,1.0,1.0008896797153024,1.0006339431262452,1.0,0.9999017488701121,1.0,1.0,1.0,1.0,0.9995266039635202,1.0,1.0,1.000094103302173,1.0
