,Dates,006929.OF,004200.OF,050027.OF,002650.OF,100058.OF,100066.OF,006804.OF,004920.OF,000191.OF,002864.OF,270048.OF,006591.OF,006998.OF,040040.OF,040026.OF,000186.OF,000015.OF,004042.OF,004672.OF,006668.OF,006884.OF,004555.OF,004705.OF,003280.OF,003327.OF,006985.OF,110037.OF,000205.OF,000032.OF,007169.OF,005705.OF,217022.OF,161713.SZ,002920.OF,380005.OF
10,2019-7-29,1.001775323010159,1.0016341413027556,1.001549396549163,1.001932812393852,1.0022654329131138,1.002613647547327,1.001280283632066,1.0019318050696657,1.0019841233259204,1.001221676738861,1.0016920506347382,1.0014746304771582,1.0014842613006048,1.0018782817369252,1.0018993369780451,1.0023208580081484,1.0016299933274775,1.001965860945454,1.0014005602240892,1.0019688879831001,1.002749680840617,1.0029041565460008,1.0026857654431516,1.0015510948905113,1.002023356976179,1.0016806722689078,1.000907444804206,1.000884170422026,1.0016583806567048,1.0021877430474806,1.0011431858120743,1.0021097068907412,1.0009842522960082,1.0011336765226215,1.001876170249559
11,2019-7-30,1.0018739520662787,1.0019225223101034,1.0017316835044194,1.002024848976455,1.0024542174241926,1.0027069947340737,1.001280283632066,1.0021249864672386,1.0018896443136405,1.0013160579934866,1.0016920506347382,1.0015729391756354,1.0014842613006048,1.0020661643066977,1.0018993369780451,1.002610964372967,1.002444993783715,1.0020552238298297,1.0014939309056952,1.002165777761937,1.002847883727782,1.0029041565460008,1.0026857654431516,1.001642335766424,1.002023356976179,1.0017795353435495,1.0018148825573394,1.0017683478541564,1.0025543137618436,1.0021877430474806,1.0013337167807532,1.002812940650442,1.0019685045920164,1.001322621112233,1.001876170249559
12,2019-7-31,1.0021698392346385,1.0024992754553579,1.002825372489407,1.0024850407213077,1.0028317864463503,1.0030803761129021,1.001378766988379,1.002414763016629,1.002362053612383,1.0014104392481118,1.0016920506347382,1.0017695663215682,1.001781115538765,1.0023479807098385,1.0018993369780451,1.0030944749809985,1.0032599866549545,1.0023232949814125,1.001774042950513,1.002461112430192,1.0031424923892767,1.0029041565460008,1.0026857654431516,1.001916058394161,1.0021153312870819,1.0023727137913991,1.0018148825573394,1.0017683478541564,1.0025543137618436,1.0025855163151103,1.001714778718111,1.0035161744101428,1.0019685045920164,1.0014170978995154,1.0028142590072435
13,2019-8-1,1.0026629845152382,1.003268282605511,1.0033722202565558,1.0028531958835576,1.0034925416252103,1.0036404371289085,1.0014772503446916,1.002994298303285,1.0028344629111252,1.0015992106755573,1.0025380724771429,1.0018678750200454,1.0020779697769253,1.0026298045644972,1.002849002219927,1.0033845813458173,1.004074979526194,1.0025913661329948,1.001867413632119,1.0028548919878657,1.0037317097122658,1.003872211696831,1.0035810205908686,1.0021897810218983,1.002299271257367,1.002669303015324,1.0027223273615453,1.0026525182761825,1.0034502541576897,1.0028838462658325,1.0021911061398086,1.0035161744101428,1.0029527568880243,1.001511565701844,1.0028142590072435
14,2019-8-2,1.0032547588519578,1.0051908049156144,1.0054684645728678,1.0036815427906602,1.0039645060329352,1.004573886891901,1.0015757337010045,1.0036704376478207,1.0037792886272816,1.0016935919301826,1.0033840943195473,1.0021628011154773,1.0023748240150854,1.0031934522738146,1.0037986739560902,1.0042549075298721,1.005704972853671,1.0031275084361602,1.002054154995331,1.0034455613243762,1.0049101443582444,1.0048402668476608,1.0044762757385859,1.0024635036496354,1.0052423367364927,1.0038556599110235,1.0045372099188845,1.0035366886982087,1.0043461945535357,1.003182176216555,1.003239017051166,1.0042194137814826,1.0029527568880243,1.001700519276409,1.0046904292568022
15,2019-8-5,1.0038465331886774,1.006728828085362,1.0079292762503826,1.004601935112204,1.0045308658262275,1.0056006764734824,1.001871183769943,1.00473293088144,1.0048185933557177,1.0020711258668789,1.0042301231118813,1.0024577272109094,1.0028695810786858,1.0039449751013865,1.0047483391979724,1.0056087372323599,1.0073349661811484,1.0044678729448453,1.0025210084033611,1.0040362306608865,1.0065795934400472,1.0058083219984906,1.005371530886303,1.0029197080291974,1.0078175222750476,1.0048442906574397,1.005444647672018,1.004420866130339,1.0052421276586747,1.0035799494841846,1.0040964064102216,1.0056258813008843,1.0039370091840325,1.0019839406533029,1.0056285180144868
16,2019-8-6,1.0041424203570373,1.007209454228167,1.008020416453356,1.0048780536918507,1.004625254951739,1.005787363478818,1.0019696671262557,1.0050226985247677,1.0051965165235082,1.0021655071215043,1.0050761449542858,1.002654344607864,1.0032653867295662,1.0042267989560452,1.0047483391979724,1.0058021414755722,1.0073349661811484,1.0050040152480106,1.002987861811391,1.0043315653291416,1.006874202101542,1.0058083219984906,1.005371530886303,1.0031934306569346,1.007725556615665,1.0044488383588732,1.0063520854251513,1.0053050365523652,1.0061380680545207,1.0035799494841846,1.004001140925882,1.0056258813008843,1.0039370091840325,1.0022673530452433,1.0065665995063608
17,2019-8-7,1.004438307525397,1.007786216242863,1.0086584044234777,1.0053382454367035,1.004908434848385,1.0062540846762356,1.0020681504825684,1.0053124661680959,1.0056689329409223,1.0023542785489497,1.0050761449542858,1.0028509620048185,1.0034632895550064,1.0045086228107039,1.0047483391979724,1.006285659173202,1.0073349661811484,1.0053614492839686,1.0031746031746027,1.0047253350815473,1.0076598251988609,1.0058083219984906,1.0062667860340202,1.0037408759124091,1.0084613251483263,1.0045477014335147,1.0063520854251513,1.0053050365523652,1.0061380680545207,1.0034805061672771,1.0042869373789003,1.0056258813008843,1.004921261480041,1.0023618298325259,1.0065665995063608
18,2019-8-8,1.0048328237498767,1.0081707153832191,1.0091141119876534,1.0052462000222624,1.0050028302339524,1.006627466055064,1.002166633838881,1.0056988289632416,1.0058578980841537,1.0024486598035751,1.0059221667966904,1.0031458881002502,1.0035622409677265,1.0047904466653625,1.0056980109341354,1.0065757655380208,1.008149966637386,1.0056295204355514,1.0033613445378147,1.0050206697498023,1.00824904252185,1.0067763771493203,1.005371530886303,1.0040145985401463,1.0084613251483263,1.0045477014335147,1.0072595302293572,1.0061892139844957,1.0070340084503666,1.0039777227518143,1.0044774683475792,1.006329115060585,1.004921261480041,1.0025507744221371,1.0065665995063608
19,2019-8-9,1.0051287109182365,1.0089397225333723,1.0100255205666946,1.0056143551845125,1.0054747946416775,1.007187534439228,1.0022651171951937,1.0058920103608142,1.0062358212519444,1.0025430499763952,1.0059221667966904,1.0032441967987273,1.0037601437931667,1.005260145638276,1.0056980109341354,1.0068658719028396,1.0089649595086256,1.0059869544715097,1.0034547152194206,1.0053160044180574,1.0092310713934989,1.0067763771493203,1.0062667860340202,1.0042883211678835,1.009932853562129,1.004943153732081,1.008166967982491,1.0061892139844957,1.0079299415555056,1.004077166068722,1.0050490612536165,1.006329115060585,1.005905513776049,1.0025507744221371,1.0075046882640457
