,PairsTrading
2017-01-25,0.0011278420422816682
2017-01-26,-0.00018230180483735925
2017-02-03,0.00627977289106868
2017-02-06,-0.0006169646984257315
2017-02-07,0.0013635776654381537
2017-02-08,-0.006884145683659082
2017-02-09,0.0
2017-02-10,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,-0.002145198028879969
2017-02-17,0.004645090512385069
2017-02-20,0.0036351070781797112
2017-02-21,0.0008440355123664478
2017-02-22,0.003332893127965919
2017-02-23,-0.0025159160561928906
2017-02-24,-0.006160698437739975
2017-02-27,-0.005716512628410164
2017-02-28,0.001749473316668415
2017-03-01,-0.00643869746350445
2017-03-02,-0.004536140776186359
2017-03-03,0.0004037245390593469
2017-03-06,-0.0025282666923020503
2017-03-07,-0.004101653702862751
2017-03-08,-0.00041282052322039187
2017-03-09,0.0007283034302184577
2017-03-10,0.00021345622838758738
2017-03-13,-0.0020960278869872617
2017-03-14,0.0018620762315590955
2017-03-15,0.0032256176091792765
2017-03-16,0.0037054442778138297
2017-03-17,0.012717955462305586
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-27,0.006500943352096278
2017-03-28,0.004918929980813613
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,-0.0006422795633526102
2017-04-14,-0.00016761205986320915
2017-04-17,-0.003954211247300304
2017-04-18,-0.008386883766501013
2017-04-19,9.733127506791894e-05
2017-04-20,0.004919574434756074
2017-04-21,0.00038192476112075546
2017-04-24,-0.0013408837013126063
2017-04-25,-0.003094691974660335
2017-04-26,0.007790384935387917
2017-04-27,0.006347262651141938
2017-04-28,0.0
2017-05-02,-0.006224439541481996
2017-05-03,-7.020920279188214e-05
2017-05-04,-0.0011906182711487745
2017-05-05,-0.00025795050865579094
2017-05-08,0.0001619720719286677
