,PairsTrading
2019-09-03,-0.0007206364671763915
2019-09-04,0.0010816811100448909
2019-09-05,-0.003781815386421065
2019-09-06,-0.0006620592782051181
2019-09-09,-0.00032703092246821885
2019-09-10,0.004749618655950472
2019-09-11,0.0012623144751215398
2019-09-12,-9.000363972844205e-05
2019-09-16,-0.005193541387227996
2019-09-17,0.0020507380668877695
2019-09-18,-0.0013323353899880042
2019-09-19,-0.005387717499959921
2019-09-20,-0.0004119786158113259
2019-09-23,-0.0008474907425186085
2019-09-24,-0.0061612453958184155
2019-09-25,-0.0003322066692145742
2019-09-26,0.0045230922209458235
2019-09-27,0.0009075833919383047
2019-09-30,0.004508511286851202
2019-10-08,0.002309541108524993
2019-10-09,-0.0005162406740512049
2019-10-10,-0.013219438699331731
2019-10-11,-0.0007835293263452892
2019-10-14,0.001351787045879016
2019-10-15,0.0017084015913877981
2019-10-16,-0.004134067085805826
2019-10-17,-0.0017638762934132357
2019-10-18,-0.0021327131018760714
2019-10-21,0.006022505011471779
2019-10-22,-0.002872469820642154
2019-10-23,0.0010998800181423185
2019-10-24,-0.007314426298789645
2019-10-25,-0.0036286227021793405
2019-10-28,-0.003942762384803178
2019-10-29,2.508797735301105e-05
2019-10-30,0.0
2019-10-31,0.0
2019-11-01,-0.0014029301978067399
2019-11-04,-0.0014331684915951381
2019-11-05,-0.00045341442717028446
2019-11-06,-6.52175516404987e-05
2019-11-07,-0.0009298975849509339
2019-11-08,-0.0004791850208703357
2019-11-11,0.0011697118006298204
2019-11-12,-0.0026682211652562793
2019-11-13,0.0006235495600203458
2019-11-14,-0.001906035743068986
2019-11-15,0.00013536931485635928
2019-11-18,0.0004357554369651688
2019-11-19,-0.002449959443098079
2019-11-20,5.8012970531942654e-05
2019-11-21,0.0008201463884336679
2019-11-22,0.0005448297023318421
2019-11-25,-0.00046415044651955395
2019-11-26,-6.081360950353776e-05
2019-11-27,-0.0021438424663669103
2019-11-28,-0.0001240483298345918
2019-11-29,0.0004909561640616955
2019-11-30,-0.0007155728993092775
2019-12-02,-0.0009781780316697741
2019-12-03,-0.0003084637234380312
2019-12-04,-0.00044995586849296476
2019-12-05,-0.0025596031864051723
2019-12-06,0.0009385958354991189
2019-12-09,-0.0024771746223209426
2019-12-10,0.0014692970932017229
2019-12-11,0.0007525155086653227
2019-12-12,0.000936109303733464
2019-12-13,-0.0006836278577796173
2019-12-16,-0.0036077198327580384
2019-12-17,-0.0012870319534584729
2019-12-18,-0.0006991043612256387
2019-12-19,0.002039866993533354
2019-12-20,0.00044957188381980484
2019-12-23,0.0021207789195364785
2019-12-24,-0.004250025031705795
2019-12-25,-0.0027391087853276077
2019-12-26,0.0022095498604415287
2019-12-27,0.0033686698684048722
2019-12-30,0.0003705225435843007
2019-12-31,0.003089747102296536
2020-01-02,-0.0022307794036220963
2020-01-03,-0.003451943410585523
2020-01-06,-0.002903881826066157
2020-01-07,0.0016099382439032084
2020-01-08,1.935485360010647e-06
2020-01-09,0.002082860204801029
2020-01-10,-0.0018791865800071306
2020-01-13,-0.006919833406627607
2020-01-14,-0.000780936890315248
2020-01-15,-0.0006972718104978071
2020-01-16,0.0013689861545846393
2020-01-17,0.000638355378906404
2020-01-20,-0.003132271432023881
2020-01-21,-0.0008069429559721675
2020-01-22,-0.005433622792086256
2020-01-23,0.0002539137526224311
2020-02-03,0.00446045138416388
2020-02-04,-0.009379785304097471
2020-02-05,0.0012167817652762314
2020-02-06,-0.00011121693781077991
2020-02-07,0.0005033362344096978
2020-02-10,-0.0022290514170015727
2020-02-11,0.0030443050865700903
2020-02-12,-0.004389186421232261
2020-02-13,-0.001593229343556361
2020-02-14,0.0022672135729905154
2020-02-17,-0.003999473566434443
2020-02-18,-0.0032383251501276007
2020-02-19,0.0025924709950800227
2020-02-20,0.000452352740837362
2020-02-21,-0.009212057624193562
2020-02-24,-0.009819463652219612
2020-02-25,-0.005345688146195605
2020-02-26,0.010683210167006185
2020-02-27,0.002532197500879671
2020-02-28,0.002894819325512943
2020-02-29,0.0003585357559089397
2020-03-02,-0.0012907441046624926
2020-03-03,0.0015591908450263703
2020-03-04,0.004185398562873269
2020-03-05,-0.0008543327456915027
2020-03-06,0.000542359347340815
2020-03-09,0.0
2020-03-10,-0.00015706966525763644
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-16,0.0
2020-03-17,-0.004138576905573843
2020-03-18,-0.0036468380387857935
